metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_sending,1789880720,0.268981,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-24T11:19:36.834Z&end_time=2026-09-24T13:19:36.834Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-24T11:19:36.834Z&end_time=2026-09-24T13:19:36.834Z,,
http_req_waiting,1789880720,201.512697,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-24T11:19:36.834Z&end_time=2026-09-24T13:19:36.834Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-24T11:19:36.834Z&end_time=2026-09-24T13:19:36.834Z,,
http_req_receiving,1789880720,197.969433,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-24T11:19:36.834Z&end_time=2026-09-24T13:19:36.834Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-24T11:19:36.834Z&end_time=2026-09-24T13:19:36.834Z,,
http_req_failed,1789880720,0.000000,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-24T11:19:36.834Z&end_time=2026-09-24T13:19:36.834Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-24T11:19:36.834Z&end_time=2026-09-24T13:19:36.834Z,,
checks,1789880720,1.000000,search status 200,,,,,,,,search_traffic,,,,,,,
vus,1789880720,4.000000,,,,,,,,,,,,,,,,
vus_max,1789880720,90.000000,,,,,,,,,,,,,,,,
data_sent,1789880720,267.000000,,,,,,,,,booking_load,,,,,,,
data_received,1789880720,540.000000,,,,,,,,,booking_load,,,,,,,
iteration_duration,1789880720,1205.570088,,,,,,,,,booking_load,,,,,,,
iterations,1789880720,1.000000,,,,,,,,,booking_load,,,,,,,
